datetime,open,high,low,close,volume
2022-03-29,1160.25,1300.5,1160.25,1190.84998,3362
2022-03-30,1162.80005,1195.94995,1071,1109.25,1089
2022-03-31,1096.5,1180.65002,1053.15002,1099.050049,1816
2022-04-01,1091.40002,1132.19995,997.049988,1035.30005,4948
2022-04-04,1040.40002,1054.68005,974.099976,1040.40002,1551
2022-04-05,1035.30005,1068.44995,1009.79999,1032.75,673
2022-04-06,1027.65002,1106.69995,1025.099976,1032.75,932
2022-04-07,1040.40002,1058.25,895.049988,920.54999,1750
2022-04-08,971.54999,971.54999,877.20001,882.29999,940
2022-04-11,915.45001,1007.25,867,956.25,1280
2022-04-12,963.90002,963.90002,828.75,836.40002,1109
2022-04-13,851.70001,877.20001,836.40002,856.79999,482
2022-04-14,856.79999,882.29999,831.29999,859.34998,495
2022-04-18,849.15002,884.84998,803.25,803.25,595
2022-04-19,793.049988,821.099976,767.54999,798.15002,380
2022-04-20,813.45001,864.45001,798.15002,826.20001,411
2022-04-21,828.75,838.95001,772.65002,777.75,307
2022-04-22,777.75,816,754.79999,777.75,531
2022-04-25,765,805.79999,744.59998,805.79999,269
2022-04-26,782.84998,826.20001,743.070007,757.34998,426
2022-04-27,765,915.45001,757.34998,782.84998,8224
2022-04-28,777.75,790.5,688.5,726.75,744
2022-04-29,747.15002,749.70001,698.70001,711.45001,192
2022-05-02,701.25,701.25,637.5,652.79999,578
2022-05-03,663,698.70001,663,663,496
2022-05-04,663,719.099976,657.90002,691.049988,281
2022-05-05,691.049988,711.45001,645.40503,660.45001,198
2022-05-06,660.45001,698.70001,642.59998,652.79999,521
2022-05-09,650.25,685.95001,629.84998,640.049988,453
2022-05-10,645.15002,683.40002,576.29999,583.95001,400
2022-05-11,614.54999,614.54999,516.63000,563.54999,257
2022-05-12,538.049988,586.5,515.099976,566.099976,249
2022-05-13,566.099976,596.70001,561,566.099976,345
2022-05-16,596.70001,612,548.50500,589.049988,991
2022-05-17,612,612,561,595.42499,156
2022-05-18,578.84998,609.45001,561,578.84998,160
2022-05-19,586.5,632.40002,576.29999,601.79999,422
2022-05-20,604.34998,617.099976,543.15002,550.79999,474
2022-05-23,561,569.92499,540.59998,553.34998,93
2022-05-24,558.45001,570.94501,510,530.40002,334
2022-05-25,520.20001,573.75,520.20001,568.65002,81
2022-05-26,555.90002,599.25,555.90002,578.84998,147
2022-05-27,591.59998,637.5,572.47498,594.15002,129
2022-05-31,637.5,657.90002,605.625,647.70001,311
2022-06-01,647.70001,696.15002,586.5,604.34998,329
2022-06-02,622.20001,640.049988,594.40503,627.29999,55
2022-06-03,650.25,650.25,599.25,629.84998,103
2022-06-06,629.84998,685.95001,612,640.049988,95
2022-06-07,624.75,655.34998,599.25,627.29999,149
2022-06-08,617.099976,663,617.099976,634.95001,144
2022-06-09,634.95001,729.29999,634.95001,657.90002,786
2022-06-10,678.29999,711.45001,640.81500,708.90002,416
2022-06-13,749.70001,765,685.95001,731.84998,1170
2022-06-14,719.099976,790.5,650.25,668.099976,793
2022-06-15,576.29999,652.79999,573.75,632.40002,480
2022-06-16,601.79999,640.049988,540.59998,568.65002,361
2022-06-17,553.34998,601.79999,522.75,583.95001,456
2022-06-21,594.15002,612,553.34998,609.45001,604
2022-06-22,583.95001,673.20001,583.95001,673.20001,607
2022-06-23,685.95001,688.5,599.25,627.29999,191
2022-06-24,650.25,660.45001,601.79999,627.29999,177
2022-06-27,608.17499,609.45001,581.40002,586.5,89
2022-06-28,614.54999,614.54999,555.90002,561,185
2022-06-29,573.23999,578.84998,543.15002,548.25,89
2022-06-30,561,563.54999,532.95001,538.049988,103
2022-07-01,527.84998,568.65002,527.84998,535.5,145
2022-07-05,522.75,565.080017,484.5,527.84998,689
2022-07-06,535.5,550.79999,510,510,197
2022-07-07,522.75,530.40002,484.5,484.5,618
2022-07-08,479.39999,499.79999,451.35001,476.85001,746
2022-07-11,474.29999,476.85001,415.64999,420.75,596
2022-07-12,428.39999,442.42499,382.5,397.79999,906
2022-07-13,385.049988,413.10001,372.29999,376.125,1017
2022-07-14,377.39999,385.049988,351.89999,357,491
2022-07-15,354.45001,357,294.015015,306,1742
2022-07-18,313.64999,323.85001,288.14999,308.54999,1903
2022-07-19,300.89999,308.54999,267.75,280.5,1510
2022-07-20,283.049988,300.89999,270.29999,295.79999,2115
2022-07-21,285.60001,295.79999,277.95001,280.5,605
2022-07-22,275.39999,295.79999,275.39999,285.60001,977
2022-07-25,290.70001,293.25,260.10001,275.39999,1394
2022-07-26,267.75,275.39999,247.095001,262.64999,1526
2022-07-27,262.64999,344.25,248.88000,270.29999,24015
2022-07-28,267.75,270.29999,250.15500,257.54999,2526
2022-07-29,249.89999,257.54999,229.5,241.74001,2582
2022-08-01,239.70000,244.80000,206.55000,209.10001,2878
2022-08-02,211.14000,293.25,204.50999,245.82001,67897
2022-08-03,233.83501,262.64999,219.30000,232.81500,14481
2022-08-04,239.70000,244.28999,222.10500,233.32500,4700
2022-08-05,233.83501,237.14999,214.20000,219.30000,4746
2022-08-08,219.044998,249.89999,210.63000,241.99500,14083
2022-08-09,242.75999,265.20001,225.92999,232.81500,9829
2022-08-10,229.5,234.60001,224.39999,229.24500,2764
2022-08-11,234.60001,237.14999,221.59500,226.95000,3494
2022-08-12,229.5,277.95001,227.71500,275.39999,11017
2022-08-15,252.19501,290.70001,242.25,247.35001,9981
2022-08-16,251.94000,251.94000,224.39999,235.11000,5175
2022-08-17,226.95000,229.5,214.20000,224.39999,3216
2022-08-18,224.39999,239.70000,224.39999,234.34500,1896
2022-08-19,234.60001,234.60001,216.75,221.85001,1760
2022-08-22,224.39999,224.39999,206.55000,209.10001,1840
2022-08-23,209.10001,211.64999,192.27000,201.70500,1989
2022-08-24,196.35001,205.27499,183.60001,186.14999,2260
2022-08-25,186.14999,187.93500,173.39999,183.34500,1465
2022-08-26,187.93500,188.70000,178.75500,188.70000,1436
2022-08-29,188.70000,201.45000,178.5,197.11501,1649
2022-08-30,198.39000,205.78500,191.25,196.60500,958
2022-08-31,198.64500,204,192.014999,201.70500,1138
2022-09-01,209.10001,209.10001,194.054993,198.89999,703
2022-09-02,213.94501,213.94501,191.25,196.35001,524
2022-09-06,205.020004,205.020004,188.70000,189.97501,382
2022-09-07,190.23000,196.35001,181.30499,188.70000,508
2022-09-08,188.70000,193.80000,181.050003,189.21001,321
2022-09-09,191.25,198.89999,191.25,193.80000,438
2022-09-12,193.80000,206.55000,189.46500,201.96001,697
2022-09-13,213.94501,219.30000,199.15500,210.63000,3264
2022-09-14,214.20000,244.80000,213.94501,235.36501,5278
2022-09-15,249.89999,260.10001,230.77499,246.074997,5397
2022-09-16,247.35001,255,226.18500,239.44501,3528
2022-09-19,239.70000,239.70000,214.20000,223.63499,1262
2022-09-20,219.81000,219.81000,196.35001,206.80499,1433
2022-09-21,203.74500,211.64999,188.70000,196.35001,1538
2022-09-22,196.35001,196.35001,185.13000,192.52499,972
2022-09-23,193.80000,194.56500,175.95000,194.56500,3549
2022-09-26,211.64999,229.5,199.66499,207.57001,3115
2022-09-27,211.64999,211.64999,199.41000,204,583
2022-09-28,201.19501,221.85001,197.625,212.92500,1018
2022-09-29,209.10001,218.28000,193.035004,201.96001,1099
2022-09-30,205.27499,212.92500,196.35001,197.625,1775
2022-10-03,198.89999,219.30000,188.95500,212.92500,4736
2022-10-04,213.17999,219.30000,203.23500,212.92500,1366
2022-10-05,204,214.45500,199.15500,211.39500,844
2022-10-06,208.59000,214.20000,202.72501,206.55000,639
2022-10-07,201.45000,212.92500,196.60500,204.25500,479
2022-10-10,198.13499,209.10001,193.80000,198.89999,478
2022-10-11,195.33000,199.66499,193.80000,197.37000,273
2022-10-12,204,204,178.5,188.70000,636
2022-10-13,188.70000,198.13499,181.050003,189.97501,503
2022-10-14,191.25,198.89999,186.14999,187.42500,341
2022-10-17,188.95500,195.074997,182.32500,184.875,289
2022-10-18,182.32500,193.80000,182.32500,183.85500,371
2022-10-19,188.70000,190.74001,175.95000,178.5,694
2022-10-20,178.5,178.75500,168.30000,171.36000,1024
2022-10-21,169.32001,175.95000,168.30000,171.36000,322
2022-10-24,179.77499,181.81500,167.78999,168.30000,624
2022-10-25,170.85001,178.24500,163.20000,167.024994,1270
2022-10-26,177.73500,177.73500,167.024994,171.61501,490
2022-10-27,172.125,174.16499,153,160.64999,740
2022-10-28,165.75,165.75,153.76500,159.63000,1125
2022-10-31,170.85001,170.85001,156.82500,159.375,357
2022-11-01,160.64999,162.17999,147.89999,158.10001,412
2022-11-02,150.45000,160.90500,150.45000,155.55000,329
2022-11-03,150.96001,156.82500,150.96001,151.72501,225
2022-11-04,153,155.55000,147.89999,153,319
2022-11-07,155.55000,155.55000,148.15500,150.70500,356
2022-11-08,153,158.10001,149.17500,151.72501,558
2022-11-09,148.66499,160.64999,147.89999,151.21500,344
2022-11-10,153,158.10001,147.89999,156.82500,409
2022-11-11,158.10001,167.024994,158.10001,166.25999,464
2022-11-14,172.63499,188.70000,166.25999,178.75500,2364
2022-11-15,183.60001,183.60001,155.55000,167.024994,2388
2022-11-16,165.75,168.30000,153,164.47501,553
2022-11-17,167.28000,167.28000,155.80499,158.10001,375
2022-11-18,164.73000,165.24001,153,161.92500,270
2022-11-21,158.10001,158.35500,147.89999,150.70500,526
2022-11-22,150.45000,155.55000,145.35001,145.35001,614
2022-11-23,148.41000,151.72501,142.80000,147.64500,389
2022-11-25,145.35001,150.45000,145.35001,147.89999,212
2022-11-28,155.55000,155.55000,147.89999,150.45000,221
2022-11-29,151.72501,153,145.35001,149.17500,347
2022-11-30,153,153,145.35001,147.89999,160
2022-12-01,153,155.55000,147.89999,154.78500,382
2022-12-02,154.27499,173.14500,154.27499,168.044998,420
2022-12-05,180.53999,180.53999,160.64999,170.085007,473
2022-12-06,178.5,178.5,158.86501,164.22000,254
2022-12-07,172.38000,175.95000,159.63000,173.39999,319
2022-12-08,181.050003,181.050003,163.45500,173.14500,116
2022-12-09,173.14500,173.14500,158.86501,168.30000,382
2022-12-12,166.0050049,166.0050049,158.86501,159.12000,236
2022-12-13,167.78999,168.044998,154.27499,161.16000,520
2022-12-14,158.86501,168.044998,158.10001,158.35500,239
2022-12-15,158.61000,168.30000,155.80499,156.57001,202
2022-12-16,163.20000,168.30000,153,153,425
2022-12-19,153,158.10001,145.60500,147.89999,192
2022-12-20,145.60500,153,145.60500,147.89999,345
2022-12-21,150.45000,155.80499,145.35001,146.625,262
2022-12-22,153,165.75,146.625,155.55000,1315
2022-12-23,152.49001,163.20000,152.49001,158.10001,239
2022-12-27,155.55000,163.20000,150.45000,153,331
2022-12-28,148.41000,153,140.25,146.88000,540
2022-12-29,142.80000,149.42999,137.70000,147.89999,1003
2022-12-30,142.80000,150.45000,140.25,144.84000,381
2023-01-03,149.42999,150.45000,140.25,142.80000,611
2023-01-04,140.50500,147.89999,138.21001,142.80000,442
2023-01-05,143.054993,147.89999,137.95500,140.50500,849
2023-01-06,130.56000,142.80000,130.050003,132.60001,1057
2023-01-09,137.70000,140.25,132.60001,136.42500,330
2023-01-10,135.66000,140.25,133.875,139.48500,517
2023-01-11,140.25,147.89999,137.70000,140.25,600
2023-01-12,140.25,145.35001,137.70000,142.80000,295
2023-01-13,144.84000,161.92500,140.50500,158.10001,1200
2023-01-17,163.20000,170.59500,153,155.55000,1113
2023-01-18,155.55000,165.49500,155.55000,156.82500,618
2023-01-19,160.64999,165.75,156.82500,158.10001,1053
2023-01-20,160.64999,165.75,154.27499,156.57001,677
2023-01-23,156.82500,181.050003,156.82500,169.32001,1208
2023-01-24,173.39999,186.14999,170.85001,172.38000,617
2023-01-25,173.39999,178.5,165.75,166.25999,480
2023-01-26,168.55499,176.20500,164.47501,165.75,587
2023-01-27,169.57500,198.89999,158.10001,169.57500,6962
2023-01-30,178.5,178.5,156.82500,161.16000,1858
2023-01-31,163.45500,170.34000,153.76500,160.64999,1202
2023-02-01,163.71001,172.38000,153.76500,155.55000,1277
2023-02-02,163.20000,163.20000,155.55000,156.82500,1230
2023-02-03,160.14000,173.39999,155.80499,170.59500,1665
2023-02-06,178.5,183.60001,165.75,170.59500,1873
2023-02-07,175.95000,175.95000,160.64999,170.85001,950
2023-02-08,168.044998,170.85001,163.45500,164.47501,580
